Timestamp,Event,Details
1776587234.6466758,SESSION_START,
1776587235.2217197,QUESTION_START,Q1
1776587381.540239,QUESTION_END,Q1
1776587381.5404463,QUESTION_START,Q2
1776587474.8677955,QUESTION_END,Q2
1776587474.8680475,QUESTION_START,Q3
1776587537.8717365,QUESTION_END,Q3
1776587537.872032,QUESTION_START,Q4
1776587612.4012954,QUESTION_END,Q4
1776587612.4014702,QUESTION_START,Q5
1776587682.242159,QUESTION_END,Q5
1776587682.2424269,SESSION_END,
