Timestamp,Event,Details
1776579497.7921944,SESSION_START,
1776579498.3457723,QUESTION_START,Q1
1776579555.3166018,QUESTION_END,Q1
1776579555.3167446,QUESTION_START,Q2
1776579686.518213,QUESTION_END,Q2
1776579686.518485,QUESTION_START,Q3
1776579686.6444461,QUESTION_END,Q3
1776579686.6445763,QUESTION_START,Q4
1776579752.2151833,QUESTION_END,Q4
1776579752.2153141,QUESTION_START,Q5
1776579787.283519,QUESTION_END,Q5
1776579787.283776,SESSION_END,
