Timestamp,Event_Type,Key_Button,Active_Window
1775553394.932825,Mouse,Button.left,Honeypot Exam Collector
1775553397.9353561,Mouse,Button.left,Google Chrome
1775553400.2364135,Keyboard,b,New Tab - Google Chrome
1775553400.5718577,Keyboard,l,New Tab - Google Chrome
1775553400.682666,Keyboard,a,New Tab - Google Chrome
1775553400.8841596,Keyboard,s,New Tab - Google Chrome
1775553401.3200746,Keyboard,t,New Tab - Google Chrome
1775553401.484009,Keyboard,Key.space,New Tab - Google Chrome
1775553401.6555338,Keyboard,i,New Tab - Google Chrome
1775553401.8565226,Keyboard,n,New Tab - Google Chrome
1775553402.0119774,Keyboard,Key.space,New Tab - Google Chrome
1775553402.2145312,Keyboard,b,New Tab - Google Chrome
1775553402.590979,Keyboard,i,New Tab - Google Chrome
1775553402.822078,Keyboard,o,New Tab - Google Chrome
1775553403.7972193,Keyboard,Key.right,New Tab - Google Chrome
1775553404.0389378,Keyboard,Key.enter,New Tab - Google Chrome
1775553419.146338,Mouse,Button.left,blast in bioinformatics - Google Search - Google Chrome
1775553420.3363833,Mouse,Button.left,Honeypot Exam Collector
1775553421.043058,Keyboard,Key.shift,Honeypot Exam Collector
1775553421.3886452,Keyboard,B,Honeypot Exam Collector
1775553421.530021,Keyboard,L,Honeypot Exam Collector
1775553421.733857,Keyboard,a,Honeypot Exam Collector
1775553422.0058331,Keyboard,s,Honeypot Exam Collector
1775553422.4432564,Keyboard,Key.backspace,Honeypot Exam Collector
1775553422.6043372,Keyboard,Key.backspace,Honeypot Exam Collector
1775553422.8993857,Keyboard,Key.shift,Honeypot Exam Collector
1775553423.5066752,Keyboard,A,Honeypot Exam Collector
1775553423.9634633,Keyboard,S,Honeypot Exam Collector
1775553424.3304718,Keyboard,T,Honeypot Exam Collector
1775553424.593077,Keyboard,Key.space,Honeypot Exam Collector
1775553425.0591557,Keyboard,i,Honeypot Exam Collector
1775553425.2138705,Keyboard,s,Honeypot Exam Collector
1775553425.4248137,Keyboard,Key.space,Honeypot Exam Collector
1775553425.669496,Keyboard,a,Honeypot Exam Collector
1775553427.0114224,Keyboard,Key.space,Honeypot Exam Collector
1775553427.255784,Keyboard,t,Honeypot Exam Collector
1775553428.0656435,Keyboard,Key.backspace,Honeypot Exam Collector
1775553428.816982,Keyboard,p,Honeypot Exam Collector
1775553429.0079641,Keyboard,r,Honeypot Exam Collector
1775553429.139237,Keyboard,o,Honeypot Exam Collector
1775553429.263837,Keyboard,c,Honeypot Exam Collector
1775553429.4255614,Keyboard,e,Honeypot Exam Collector
1775553429.6263988,Keyboard,s,Honeypot Exam Collector
1775553429.7709095,Keyboard,s,Honeypot Exam Collector
1775553429.972063,Keyboard,Key.space,Honeypot Exam Collector
1775553430.1631768,Keyboard,t,Honeypot Exam Collector
1775553430.2732487,Keyboard,h,Honeypot Exam Collector
1775553430.3897483,Keyboard,a,Honeypot Exam Collector
1775553430.5814986,Keyboard,t,Honeypot Exam Collector
1775553430.8157709,Keyboard,Key.space,Honeypot Exam Collector
1775553430.9887674,Keyboard,r,Honeypot Exam Collector
1775553431.168694,Keyboard,a,Honeypot Exam Collector
1775553431.3529034,Keyboard,p,Honeypot Exam Collector
1775553431.7988636,Keyboard,i,Honeypot Exam Collector
1775553432.0506697,Keyboard,l,Honeypot Exam Collector
1775553432.3970237,Keyboard,Key.backspace,Honeypot Exam Collector
1775553432.5385873,Keyboard,d,Honeypot Exam Collector
1775553432.702997,Keyboard,l,Honeypot Exam Collector
1775553433.034586,Keyboard,y,Honeypot Exam Collector
1775553433.3005307,Keyboard,Key.space,Honeypot Exam Collector
1775553434.7768333,Keyboard,c,Honeypot Exam Collector
1775553434.9581132,Keyboard,o,Honeypot Exam Collector
1775553435.212924,Keyboard,m,Honeypot Exam Collector
1775553435.586432,Keyboard,p,Honeypot Exam Collector
1775553435.7710278,Keyboard,a,Honeypot Exam Collector
1775553435.9826858,Keyboard,r,Honeypot Exam Collector
1775553436.1438122,Keyboard,e,Honeypot Exam Collector
1775553436.3279057,Keyboard,s,Honeypot Exam Collector
1775553436.579856,Keyboard,Key.space,Honeypot Exam Collector
1775553436.8749864,Keyboard,n,Honeypot Exam Collector
1775553437.4428456,Keyboard,e,Honeypot Exam Collector
1775553437.7151897,Keyboard,u,Honeypot Exam Collector
1775553438.3151703,Keyboard,Key.backspace,Honeypot Exam Collector
1775553438.4859085,Keyboard,Key.backspace,Honeypot Exam Collector
1775553438.750987,Keyboard,u,Honeypot Exam Collector
1775553438.9223256,Keyboard,c,Honeypot Exam Collector
1775553439.1442933,Keyboard,l,Honeypot Exam Collector
1775553439.318244,Keyboard,e,Honeypot Exam Collector
1775553439.4893615,Keyboard,o,Honeypot Exam Collector
1775553439.9354084,Keyboard,t,Honeypot Exam Collector
1775553440.136485,Keyboard,i,Honeypot Exam Collector
1775553440.656627,Keyboard,d,Honeypot Exam Collector
1775553440.8608458,Keyboard,e,Honeypot Exam Collector
1775553441.203346,Keyboard,s,Honeypot Exam Collector
1775553441.5685313,Keyboard,Key.space,Honeypot Exam Collector
1775553441.8944466,Keyboard,t,Honeypot Exam Collector
1775553442.1155093,Keyboard,o,Honeypot Exam Collector
1775553442.246462,Keyboard,Key.space,Honeypot Exam Collector
1775553442.4318395,Keyboard,d,Honeypot Exam Collector
1775553442.6331234,Keyboard,a,Honeypot Exam Collector
1775553442.86799,Keyboard,t,Honeypot Exam Collector
1775553443.0488613,Keyboard,a,Honeypot Exam Collector
1775553443.2839289,Keyboard,b,Honeypot Exam Collector
1775553443.364263,Keyboard,a,Honeypot Exam Collector
1775553443.6361651,Keyboard,s,Honeypot Exam Collector
1775553443.8206353,Keyboard,e,Honeypot Exam Collector
1775553443.9817903,Keyboard,s,Honeypot Exam Collector
1775553444.9346051,Keyboard,Key.alt_l,Honeypot Exam Collector
1775553445.4714017,Keyboard,Key.tab,Honeypot Exam Collector
1775553455.8920052,Keyboard,Key.alt_l,blast in bioinformatics - Google Search - Google Chrome
1775553456.1138198,Keyboard,Key.tab,blast in bioinformatics - Google Search - Google Chrome
1775553457.3620625,Keyboard,Key.space,Honeypot Exam Collector
1775553457.676151,Keyboard,i,Honeypot Exam Collector
1775553457.8801074,Keyboard,n,Honeypot Exam Collector
1775553458.0206788,Keyboard,Key.space,Honeypot Exam Collector
1775553458.2829394,Keyboard,o,Honeypot Exam Collector
1775553458.4768426,Keyboard,r,Honeypot Exam Collector
1775553458.8399427,Keyboard,d,Honeypot Exam Collector
1775553459.0044916,Keyboard,e,Honeypot Exam Collector
1775553459.1451445,Keyboard,r,Honeypot Exam Collector
1775553459.2957625,Keyboard,Key.space,Honeypot Exam Collector
1775553459.4302819,Keyboard,t,Honeypot Exam Collector
1775553459.5910146,Keyboard,o,Honeypot Exam Collector
1775553459.7130003,Keyboard,Key.space,Honeypot Exam Collector
1775553459.8968978,Keyboard,i,Honeypot Exam Collector
1775553460.0692306,Keyboard,d,Honeypot Exam Collector
1775553460.2706015,Keyboard,e,Honeypot Exam Collector
1775553460.4048133,Keyboard,n,Honeypot Exam Collector
1775553460.667667,Keyboard,t,Honeypot Exam Collector
1775553460.7985094,Keyboard,i,Honeypot Exam Collector
1775553460.9529681,Keyboard,f,Honeypot Exam Collector
1775553461.1336458,Keyboard,y,Honeypot Exam Collector
1775553461.3051574,Keyboard,Key.space,Honeypot Exam Collector
1775553461.489746,Keyboard,h,Honeypot Exam Collector
1775553462.1981251,Keyboard,o,Honeypot Exam Collector
1775553462.4331417,Keyboard,m,Honeypot Exam Collector
1775553462.6655629,Keyboard,o,Honeypot Exam Collector
1775553462.8667939,Keyboard,l,Honeypot Exam Collector
1775553463.0627875,Keyboard,o,Honeypot Exam Collector
1775553463.2337992,Keyboard,g,Honeypot Exam Collector
1775553463.3642037,Keyboard,o,Honeypot Exam Collector
1775553463.5889163,Keyboard,u,Honeypot Exam Collector
1775553463.7706158,Keyboard,s,Honeypot Exam Collector
1775553463.9347036,Keyboard,Key.space,Honeypot Exam Collector
1775553464.1156468,Keyboard,r,Honeypot Exam Collector
1775553464.2868228,Keyboard,e,Honeypot Exam Collector
1775553464.5326977,Keyboard,g,Honeypot Exam Collector
1775553465.2609048,Keyboard,i,Honeypot Exam Collector
1775553465.4459195,Keyboard,o,Honeypot Exam Collector
1775553465.718253,Keyboard,n,Honeypot Exam Collector
1775553465.9092925,Keyboard,s,Honeypot Exam Collector
1775553466.7007775,Keyboard,Key.space,Honeypot Exam Collector
1775553467.5449631,Keyboard,Key.cmd,Honeypot Exam Collector
1775553467.959096,Keyboard,Key.tab,Honeypot Exam Collector
1775553470.0890656,Mouse,Button.left,Task View
1775553474.3511155,Keyboard,Key.alt_l,blast in bioinformatics - Google Search - Google Chrome
1775553474.5754328,Keyboard,Key.tab,blast in bioinformatics - Google Search - Google Chrome
1775553476.0543778,Keyboard,t,Honeypot Exam Collector
1775553476.194763,Keyboard,o,Honeypot Exam Collector
1775553476.3459253,Keyboard,Key.space,Honeypot Exam Collector
1775553476.476728,Keyboard,i,Honeypot Exam Collector
1775553476.681626,Keyboard,n,Honeypot Exam Collector
1775553476.7922153,Keyboard,t,Honeypot Exam Collector
1775553476.9642513,Keyboard,e,Honeypot Exam Collector
1775553477.0917943,Keyboard,r,Honeypot Exam Collector
1775553477.2994962,Keyboard,f,Honeypot Exam Collector
1775553477.6554177,Keyboard,Key.backspace,Honeypot Exam Collector
1775553477.8464258,Keyboard,Key.space,Honeypot Exam Collector
1775553478.0109031,Keyboard,f,Honeypot Exam Collector
1775553478.1418934,Keyboard,u,Honeypot Exam Collector
1775553478.3640041,Keyboard,n,Honeypot Exam Collector
1775553478.5046766,Keyboard,c,Honeypot Exam Collector
1775553478.8006065,Keyboard,t,Honeypot Exam Collector
1775553478.9520042,Keyboard,i,Honeypot Exam Collector
1775553479.1054866,Keyboard,o,Honeypot Exam Collector
1775553479.3571117,Keyboard,n,Honeypot Exam Collector
1775553479.5716834,Keyboard,a,Honeypot Exam Collector
1775553480.4912612,Keyboard,l,Honeypot Exam Collector
1775553480.7681887,Keyboard,Key.space,Honeypot Exam Collector
1775553480.9401298,Keyboard,o,Honeypot Exam Collector
1775553481.1337028,Keyboard,r,Honeypot Exam Collector
1775553481.3955245,Keyboard,Key.space,Honeypot Exam Collector
1775553482.6867077,Keyboard,e,Honeypot Exam Collector
1775553483.0092816,Keyboard,v,Honeypot Exam Collector
1775553483.2434964,Keyboard,o,Honeypot Exam Collector
1775553483.4751062,Keyboard,l,Honeypot Exam Collector
1775553483.791047,Keyboard,u,Honeypot Exam Collector
1775553484.065397,Keyboard,t,Honeypot Exam Collector
