Timestamp,Event,Details
1776592739.908806,SESSION_START,
1776592740.4613981,QUESTION_START,Q1
1776592820.6159668,QUESTION_END,Q1
1776592820.6161427,QUESTION_START,Q2
1776592879.6585603,QUESTION_END,Q2
1776592879.6588993,QUESTION_START,Q3
1776592962.7928402,QUESTION_END,Q3
1776592962.7931101,QUESTION_START,Q4
1776593091.1609535,QUESTION_END,Q4
1776593091.1612315,QUESTION_START,Q5
1776593132.8248858,QUESTION_END,Q5
1776593132.8251472,SESSION_END,
