Timestamp,Event,Details
1776586174.8896675,SESSION_START,
1776586175.4543915,QUESTION_START,Q1
1776586268.265671,QUESTION_END,Q1
1776586268.2658024,QUESTION_START,Q2
1776586362.3832743,QUESTION_END,Q2
1776586362.383602,QUESTION_START,Q3
1776586428.5095444,QUESTION_END,Q3
1776586428.5097816,QUESTION_START,Q4
1776586539.9014401,QUESTION_END,Q4
1776586539.901699,QUESTION_START,Q5
1776586573.5775278,QUESTION_END,Q5
1776586573.5778472,SESSION_END,
