Timestamp,Frame,Face_Detected,Pitch,Yaw,Roll,Gaze_X,Gaze_Y
1775466874.165,0,1,20.02,-1.91,-177.55,0.5451,0.5936
1775466874.215,1,1,18.84,-1.29,-177.82,0.5450,0.5914
1775466874.265,2,1,18.06,-1.21,-177.80,0.5446,0.5901
1775466874.315,3,1,18.21,-0.36,-177.90,0.5443,0.5904
1775466874.365,4,1,18.08,0.52,-177.76,0.5437,0.5904
1775466874.415,5,1,17.58,0.11,-177.75,0.5438,0.5895
1775466874.465,6,1,17.56,1.45,-177.73,0.5437,0.5897
1775466874.515,7,1,17.44,1.63,-177.70,0.5437,0.5894
1775466874.565,8,1,17.40,1.99,-177.70,0.5437,0.5894
1775466874.615,9,1,17.40,2.22,-177.71,0.5437,0.5894
1775466874.665,10,1,17.40,2.25,-177.71,0.5437,0.5894
1775466874.715,11,1,17.43,2.40,-177.70,0.5437,0.5895
1775466874.765,12,1,17.94,-3.24,-177.01,0.5438,0.5895
1775466874.815,13,1,18.27,-4.84,-176.70,0.5438,0.5898
1775466874.865,14,1,18.23,-6.41,-176.37,0.5440,0.5898
1775466874.915,15,1,18.28,-7.13,-176.24,0.5440,0.5899
1775466874.965,16,1,18.31,-4.99,-176.55,0.5440,0.5899
1775466875.015,17,1,18.33,-4.32,-176.47,0.5438,0.5898
1775466875.065,18,1,18.72,-1.84,-177.03,0.5435,0.5904
1775466875.115,19,1,18.31,0.31,-177.40,0.5429,0.5900
1775466875.165,20,1,18.26,1.91,-177.74,0.5423,0.5900
1775466875.215,21,1,19.10,-2.64,-177.02,0.5423,0.5898
1775466875.265,22,1,19.48,-5.36,-176.91,0.5422,0.5897
1775466875.315,23,1,19.26,-6.68,-175.88,0.5409,0.5878
1775466875.365,24,1,18.57,-6.82,-176.44,0.5402,0.5866
1775466875.415,25,1,16.63,-10.17,-176.91,0.5370,0.5815
1775466875.465,26,1,16.47,1.38,-178.39,0.5349,0.5789
1775466875.515,27,1,16.49,5.46,-179.50,0.5325,0.5773
1775466875.565,28,1,16.09,6.81,-179.77,0.5310,0.5771
1775466875.615,29,1,16.29,7.74,179.44,0.5296,0.5781
1775466875.665,30,1,17.24,0.87,-179.63,0.5296,0.5784
1775466875.715,31,1,17.91,0.06,-179.05,0.5287,0.5773
1775466875.765,32,1,17.43,1.04,-179.48,0.5280,0.5753
1775466875.815,33,1,16.47,6.88,179.90,0.5245,0.5757
1775466875.865,34,1,16.60,7.37,179.40,0.5238,0.5759
1775466875.915,35,1,17.58,2.34,-179.09,0.5238,0.5768
1775466875.965,36,1,18.14,12.52,179.56,0.5238,0.5767
1775466876.015,37,1,-4.03,12.47,-0.42,0.5173,0.5413
1775466876.065,38,0,,,,,
1775466876.115,39,1,18.74,9.54,179.11,0.5271,0.5807
1775466876.165,40,1,18.55,5.58,-179.91,0.5273,0.5805
1775466876.215,41,1,19.27,3.46,-179.48,0.5282,0.5816
1775466876.265,42,1,17.92,4.41,-179.79,0.5284,0.5798
1775466876.315,43,1,16.82,9.85,179.78,0.5284,0.5796
1775466876.365,44,1,17.04,7.57,179.87,0.5293,0.5797
1775466876.415,45,1,16.69,8.87,179.70,0.5301,0.5797
1775466876.465,46,1,16.66,7.00,179.77,0.5306,0.5796
1775466876.515,47,1,16.39,9.31,179.61,0.5306,0.5798
1775466876.565,48,1,16.47,7.61,179.54,0.5316,0.5792
1775466876.615,49,1,16.09,9.91,178.86,0.5329,0.5792
1775466876.665,50,1,16.58,5.47,179.50,0.5338,0.5798
1775466876.715,51,1,16.78,5.90,179.89,0.5339,0.5806
1775466876.765,52,1,16.85,3.03,-179.45,0.5350,0.5807
1775466876.815,53,1,17.09,0.02,-179.13,0.5372,0.5827
1775466876.865,54,1,17.74,-2.16,-179.26,0.5381,0.5860
1775466876.915,55,1,18.00,-1.11,-179.06,0.5391,0.5890
1775466876.965,56,1,18.09,-3.73,-178.65,0.5395,0.5899
1775466877.015,57,1,18.20,2.25,-179.34,0.5396,0.5903
1775466877.065,58,1,18.91,-1.17,-178.72,0.5408,0.5906
1775466877.115,59,1,18.66,0.73,-178.62,0.5412,0.5900
1775466877.165,60,1,18.28,3.60,-178.58,0.5408,0.5893
1775466877.215,61,1,17.43,4.35,-178.75,0.5407,0.5879
1775466877.265,62,1,16.93,3.69,-178.64,0.5410,0.5869
1775466877.315,63,1,15.89,6.49,-178.52,0.5411,0.5835
1775466877.365,64,1,17.16,0.75,-177.47,0.5421,0.5840
1775466877.415,65,1,17.31,-0.65,-177.49,0.5423,0.5813
1775466877.465,66,1,17.01,2.11,-177.69,0.5424,0.5788
1775466877.515,67,1,17.32,2.67,-177.53,0.5430,0.5779
1775466877.565,68,1,17.60,1.87,-177.54,0.5433,0.5782
1775466877.615,69,1,17.59,1.37,-177.44,0.5436,0.5783
1775466877.665,70,1,17.59,-4.88,-176.68,0.5448,0.5783
1775466877.715,71,1,17.59,-6.20,-176.45,0.5452,0.5785
1775466877.765,72,1,17.36,-8.84,-176.41,0.5465,0.5779
1775466877.815,73,1,17.56,-10.92,-176.14,0.5476,0.5778
1775466877.865,74,1,17.46,-9.83,-176.30,0.5472,0.5769
1775466877.915,75,1,17.62,-9.56,-176.33,0.5470,0.5770
1775466877.965,76,1,18.09,-8.12,-176.41,0.5468,0.5770
1775466878.015,77,1,18.25,-7.15,-176.65,0.5464,0.5774
1775466878.065,78,1,18.56,-7.19,-176.69,0.5463,0.5780
1775466878.115,79,1,18.62,-6.82,-176.83,0.5463,0.5780
1775466878.165,80,1,18.42,-4.76,-177.34,0.5454,0.5780
1775466878.215,81,1,18.43,-0.46,-178.14,0.5443,0.5790
1775466878.265,82,1,18.72,0.21,-178.34,0.5441,0.5798
1775466878.315,83,1,18.35,-3.91,-177.95,0.5442,0.5798
1775466878.365,84,1,17.33,-0.82,-178.19,0.5442,0.5767
1775466878.415,85,1,18.14,-1.00,-178.10,0.5442,0.5757
1775466878.465,86,1,18.00,-3.34,-177.79,0.5442,0.5733
1775466878.515,87,1,15.76,-10.34,-177.20,0.5442,0.5653
1775466878.565,88,1,7.22,-2.27,1.69,0.5437,0.5596
1775466878.615,89,1,6.58,-0.12,0.93,0.5415,0.5550
1775466878.665,90,1,6.06,1.81,0.53,0.5403,0.5524
1775466878.715,91,1,4.50,0.50,0.15,0.5392,0.5482
1775466878.765,92,1,5.28,2.13,-0.11,0.5380,0.5475
1775466878.815,93,1,5.82,2.98,-0.48,0.5359,0.5461
1775466878.865,94,1,6.88,2.71,-0.87,0.5351,0.5466
1775466878.915,95,1,3.69,4.06,-0.51,0.5327,0.5413
1775466878.965,96,1,2.95,4.49,-0.03,0.5308,0.5390
1775466879.015,97,1,3.05,4.04,0.39,0.5298,0.5371
1775466879.065,98,1,3.23,6.21,0.08,0.5285,0.5370
1775466879.115,99,1,3.27,6.12,-0.15,0.5275,0.5372
1775466879.165,100,1,3.77,6.82,-0.30,0.5266,0.5377
1775466879.215,101,1,4.00,6.32,-0.16,0.5256,0.5392
1775466879.265,102,1,3.20,5.44,-0.30,0.5254,0.5398
1775466879.315,103,1,2.84,5.64,-0.35,0.5253,0.5399
1775466879.365,104,1,2.88,5.48,-0.47,0.5256,0.5403
1775466879.415,105,1,3.48,5.02,-0.61,0.5263,0.5407
1775466879.465,106,1,4.44,2.58,-0.61,0.5280,0.5421
1775466879.515,107,1,4.81,1.66,-0.44,0.5295,0.5426
1775466879.565,108,1,4.19,2.90,-0.27,0.5306,0.5419
1775466879.615,109,1,3.86,2.51,0.10,0.5322,0.5416
1775466879.665,110,1,3.91,3.05,0.27,0.5325,0.5422
1775466879.715,111,1,5.04,3.07,0.65,0.5333,0.5448
1775466879.765,112,1,5.73,2.83,0.44,0.5340,0.5478
