Timestamp,Event_Type,Key_Button,X,Y,Action
1770558084.0707786,Mouse,Move,1170,578,Move
1770558084.080724,Mouse,Move,1170,577,Move
1770558084.0827048,Mouse,Move,1169,577,Move
1770558084.0897615,Mouse,Move,1169,576,Move
1770558084.1037672,Mouse,Move,1169,576,Move
1770558084.6997685,Mouse,Move,1169,576,Move
1770558084.7317433,Mouse,Move,1169,576,Move
1770558084.7407951,Mouse,Move,1169,576,Move
1770558084.7467523,Mouse,Move,1169,575,Move
1770558084.7477338,Mouse,Move,1170,575,Move
1770558084.756778,Mouse,Move,1170,575,Move
1770558084.7577422,Mouse,Move,1170,575,Move
1770558084.7657413,Mouse,Move,1170,574,Move
1770558084.7697418,Mouse,Move,1171,574,Move
1770558084.772729,Mouse,Move,1171,574,Move
1770558084.7767494,Mouse,Move,1171,573,Move
1770558084.7807453,Mouse,Move,1171,572,Move
1770558084.7837398,Mouse,Move,1172,572,Move
1770558084.7867718,Mouse,Move,1172,572,Move
1770558084.7877302,Mouse,Move,1172,572,Move
1770558084.7907474,Mouse,Move,1172,571,Move
1770558084.7917335,Mouse,Move,1173,571,Move
1770558084.7947438,Mouse,Move,1174,571,Move
1770558084.7957358,Mouse,Move,1174,571,Move
1770558084.797746,Mouse,Move,1174,570,Move
1770558084.7997458,Mouse,Move,1175,570,Move
1770558084.8017514,Mouse,Move,1175,570,Move
1770558084.8027167,Mouse,Move,1175,570,Move
1770558084.8037107,Mouse,Move,1175,569,Move
1770558084.8057253,Mouse,Move,1176,569,Move
1770558084.807748,Mouse,Move,1176,568,Move
1770558084.8097398,Mouse,Move,1176,568,Move
1770558084.810737,Mouse,Move,1177,568,Move
1770558084.812805,Mouse,Move,1178,568,Move
1770558084.8137543,Mouse,Move,1178,567,Move
1770558084.8147755,Mouse,Move,1178,567,Move
1770558084.816846,Mouse,Move,1179,566,Move
1770558084.8187828,Mouse,Move,1179,566,Move
1770558084.8207464,Mouse,Move,1180,565,Move
1770558084.821779,Mouse,Move,1180,564,Move
1770558084.823763,Mouse,Move,1181,564,Move
1770558084.8247502,Mouse,Move,1181,564,Move
1770558084.825753,Mouse,Move,1182,564,Move
1770558084.8267074,Mouse,Move,1182,563,Move
1770558084.8277159,Mouse,Move,1182,563,Move
1770558084.8297677,Mouse,Move,1183,562,Move
1770558084.8317585,Mouse,Move,1183,562,Move
1770558084.8327477,Mouse,Move,1183,562,Move
1770558084.8337307,Mouse,Move,1184,561,Move
1770558084.8347552,Mouse,Move,1184,561,Move
1770558084.835742,Mouse,Move,1184,560,Move
1770558084.836764,Mouse,Move,1185,560,Move
1770558084.8377547,Mouse,Move,1186,559,Move
1770558084.8397548,Mouse,Move,1186,559,Move
1770558084.8407462,Mouse,Move,1187,559,Move
1770558084.841732,Mouse,Move,1187,558,Move
1770558084.8437278,Mouse,Move,1188,558,Move
1770558084.84472,Mouse,Move,1188,557,Move
1770558084.8467622,Mouse,Move,1189,556,Move
1770558084.8477347,Mouse,Move,1190,556,Move
1770558084.8487232,Mouse,Move,1190,556,Move
1770558084.84974,Mouse,Move,1191,556,Move
1770558084.8507257,Mouse,Move,1191,555,Move
1770558084.85173,Mouse,Move,1192,555,Move
1770558084.8527281,Mouse,Move,1192,555,Move
1770558084.8537185,Mouse,Move,1192,555,Move
1770558084.854725,Mouse,Move,1193,555,Move
