Timestamp,Frame_ID,Gaze_X,Gaze_Y,Head_Yaw,Head_Pitch,Head_Roll,Active_Window,Left_Hand_Vis,Right_Hand_Vis,L_Wrist_X,L_Wrist_Y,R_Wrist_X,R_Wrist_Y
1770558055.7297387,1,0.5362135171890259,0.621971845626831,-24.925058063116822,-5.391754387064905,7.33451387366575,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.405151,2,0.5332175493240356,0.6223148703575134,-31.612422159893114,6.346346608207986,-178.23513970454562,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.445205,3,0.5314520597457886,0.6248180866241455,-31.610694329192896,7.567749652282293,-178.3847504886147,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.4922595,4,0.5307527780532837,0.6247154474258423,-26.32116667854352,-1.9909236104476904,7.524239160026224,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.5297647,5,0.5302466154098511,0.6266788244247437,-27.50820643462574,-2.2381428612378333,7.6049013686403635,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.5689247,6,0.5287768840789795,0.6285994052886963,-27.32933906253523,-1.599670925453576,7.412676574395915,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.6080382,7,0.5285430550575256,0.6282423138618469,-26.40500739648495,-1.883138356049067,7.34034874433586,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.6446474,8,0.5285900235176086,0.6281127333641052,-26.104134147912323,-2.1961417743992246,7.414198300366996,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.682719,9,0.5288082361221313,0.6290451884269714,-25.53989998599132,-3.174719849846018,7.8304764753084894,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.7251022,10,0.5282529592514038,0.63048255443573,-25.080382871629617,-3.962082142249023,8.174642006588023,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.7622015,11,0.5275780558586121,0.6302371621131897,-24.320072585221748,-3.67233484627947,7.656614265770117,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.8050356,12,0.5249820351600647,0.627566397190094,-23.912455291155588,-4.148634342652723,7.2118484022311975,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.8439064,13,0.5248594284057617,0.6275700330734253,-24.723274834897488,-3.2778340536783164,6.6625377760540125,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.8859308,14,0.5251874923706055,0.6271303296089172,-30.225984156374935,5.9942325444940225,-178.54095010065575,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.9243963,15,0.5251317620277405,0.6261244416236877,-29.785656132372623,4.935671970494497,-178.1468857492231,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558057.9629765,16,0.5245052576065063,0.6236050724983215,-28.859990272222024,4.487053349502383,-177.9955873820165,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.0067291,17,0.5248388051986694,0.6238207221031189,-24.01546192326695,-4.579214814436063,6.487753024472575,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.0477958,18,0.5232640504837036,0.6225458383560181,-24.45243292905794,-5.20387607060255,6.73465919074118,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.0835822,19,0.5228720307350159,0.6216684579849243,-24.540496341599372,-4.757078677684326,6.401492046391434,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.119636,20,0.5230313539505005,0.6202645897865295,-24.76644835055051,-5.163783061793947,6.845055225960428,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.1679604,21,0.5233527421951294,0.616746187210083,-24.02169236659051,-5.782917235732278,6.4354729808638895,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.2086618,22,0.5244098901748657,0.6147050261497498,-24.32988690759262,-5.808762700442902,6.07451360542581,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.2470732,23,0.5243538618087769,0.6105729937553406,-23.36822240784373,-6.888321118843714,6.313317393201909,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.285919,24,0.5243212580680847,0.610221266746521,-23.020439451914832,-6.5273059557122295,6.333950124792477,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.3240979,25,0.524300217628479,0.6064872741699219,-22.821470119254524,-6.411016637303792,6.016798670258368,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.3609605,26,0.5230621099472046,0.6032434105873108,-24.090006812964358,-6.492443562378144,5.737956421167442,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.3974428,27,0.5186780095100403,0.6020093560218811,-25.381179340134526,-6.2775015337953635,5.690275838788976,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.4368966,28,0.5140214562416077,0.599128782749176,-25.084377948346912,-6.42186392634733,5.997499766276699,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.4738069,29,0.5139871835708618,0.5971496105194092,-25.73413483891872,-6.787318659825589,5.986965227635571,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.5087976,30,0.5123491287231445,0.5966518521308899,-26.15438988900674,-7.6610919958593975,6.122519292130742,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.5468316,31,0.5044845342636108,0.596233069896698,-24.085526160453963,-7.48052814185352,5.428889415792322,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558058.60015,32,0.5002065300941467,0.6026117205619812,-25.45289950961366,-5.248181352558922,4.726514510058986,Command Prompt - python  data_collector.py,0,0,0,0,0,0
